risk_id,phase,priority,description,likelihood,impact,early_warning_signal,trigger,mitigation,owner,status,review_cadence,last_reviewed_utc,next_review_date,phase_gate
R-001,P0-P7,P0,"Paper claim diverges from evidence artifact",medium,critical,"A manuscript number or hash has no matching claim-evidence row","Number or hash changes without claim-evidence update","Require claim-evidence row and reviewer comparison in the same PR",Hiếu,open,Every paper PR,2026-09-10T17:27:04Z,2026-09-18,P0
R-002,P0-P7,P1,"Required branch-protection or review controls drift from the verified state",medium,high,"Any governed repository reports a weaker main-branch rule than the seven-repository baseline","GitHub API no longer reports strict required checks; one review; latest-push approval; stale-review dismissal; conversation resolution; admin enforcement; or force-push/deletion denial","Weekly API audit; restore protection before merge; retain CODEOWNERS on governed paths; preserve human review and final-merge requirements",Hiếu,mitigated,Weekly,2026-09-10T17:27:04Z,2026-09-18,P0-P7
R-003,P2-P3,P0,"Development benchmark is misrepresented as general accuracy",medium,critical,"Abstract; Results; Discussion; or Conclusion uses general-accuracy language for D1/D2/P3","Conclusion omits synthetic/co-developed limitation","Keep explicit feasibility/regression wording and build D3 holdout",Hiếu,open,Every results edit,2026-09-10T17:27:04Z,2026-09-18,P2-P3
R-004,P0-P7,P1,"Generated output is mistaken for research evidence",medium,high,"A result file lacks source commit; command; environment; or checksum","Untracked result appears outside an evidence bundle","Use ignored .archsync workspace and provenance gate",Kiệt,mitigated,Every demo/release,2026-09-10T17:27:04Z,2026-09-18,P0-P7
R-005,P4,P0,"Secret or private code is sent to an AI provider",medium,critical,"Redaction canary reaches a request fixture or provider log","Canary secret appears in request or log","Redaction tests; retention review; egress policy; stop switch",Bách,planned,Before any provider run,2026-09-10T17:27:04Z,2026-09-18,P4
R-006,P4,P0,"Prompt injection changes hard decisions or citations",medium,critical,"A provider response can bypass a deterministic rule or cite evidence outside the supplied bundle","Provider output bypasses deterministic verification","Adversarial corpus; citation validator; no auto-approval",Bách,planned,Every Phase 4 gate,2026-09-10T17:27:04Z,2026-09-18,P4
R-007,P5-P6,P1,"Cross-source conflict is hidden by a single score",medium,high,"Code; IaC; or runtime evidence disagrees without a retained conflict record","Model/code/IaC/runtime evidence disagree","Preserve per-source provenance; unknown state; and human approval",Hoàng,planned,Every Phase 5-6 gate,2026-09-10T17:27:04Z,2026-09-18,P5-P6
R-008,P7,P0,"Independent reproduction fails near submission",medium,critical,"A clean environment requires an undocumented dependency; private token; or manual result edit","Clean machine requires undocumented dependency or private token","Early release dry-run; checksum/SBOM/license; independent reviewer",Kiệt,open,Each release candidate,2026-09-10T17:27:04Z,2026-09-18,P7
R-009,P0,P0,"Literature criteria drift after reviewers see search results",medium,critical,"Eligibility or query version changes after an official export timestamp","Eligibility/query changes after export or screening begins","Freeze reviewed protocol first; immutable raw exports; amendment log; rerun or separately version semantic changes",Hiếu,open,Every SLR PR,2026-09-10T17:27:04Z,2026-09-18,P0
R-010,P0,P1,"Database or terminology coverage misses relevant architecture studies",medium,high,"A governed sentinel is indexed but not retrieved; or one source dominates included records","Sentinel paper absent or one source dominates included records","Four required sources; three query families; pre-freeze sentinel gate; iterative backward/forward snowballing",Hoàng,open,Each search iteration,2026-09-10T17:27:04Z,2026-09-18,P0
R-011,P7,P0,"Public repository history compromises a double-blind submission",high,critical,"Named source or repository identity remains reachable while a double-blind venue is considered","Venue requires double-blind review while prior public exposure remains unresolved","Select venue first; disclose prior exposure; obtain submission authority; and follow the venue decision",Hiếu,open,Every submission review,2026-09-10T17:27:04Z,2026-09-18,P7
