criterion_id,reason_code,precedence,dimension,applies_at,pass_condition,fail_condition
R1,E10,1,publication integrity,full-text,Publisher and retraction checks show no retraction or unresolved integrity notice,Publication is retracted or integrity status remains unresolved after documented checks
D1,E09,2,duplicate and companion handling,deduplication-and-full-text,Publication is unique or contributes unique relevant evidence as a linked companion,Duplicate publication or superseded report contributes no unique relevant evidence
I8,E08,3,legal full-text access,full-text,Complete legal full text is obtained through a governed access route,No legal full text is obtained after two documented attempts on different routes
I7,E07,4,language,title-abstract-and-full-text,Complete English full text or verified English version exists,No complete verified English full text exists
I6,E06,5,publication date,title-abstract-and-full-text,Governed publication date is on or before 2026-08-16,Governed publication date is after 2026-08-16
I5,E05,6,peer-review status,title-abstract-and-full-text,Full journal conference or workshop paper has verifiable peer-review status,Peer review is absent or cannot be verified
I3,E03,7,study and record type,title-abstract-and-full-text,Publication reports an eligible original or systematic secondary method,Record is non-substantive or lacks a reviewable method
I1,E01,8,software architecture relevance,title-abstract-and-full-text,Study concerns architecture of software systems or software structures,Architecture term concerns another domain without software architecture relevance
I2,E02,9,review topic relevance,title-abstract-and-full-text,Study addresses a governed drift conformance reconstruction governance evidence explanation or repair topic,None of the governed review topics is studied
I4,E04,10,minimum architecture evidence,full-text,At least one inspectable architecture representation evidence source technique governance mechanism or evaluation method answers an SLR-RQ,Full text exposes none of the minimum inspectable architecture elements
